,dateRep,popData2018,flag,countriesAndTerritories_Belgium,countriesAndTerritories_Brazil,countriesAndTerritories_Canada,countriesAndTerritories_China,countriesAndTerritories_Ecuador,countriesAndTerritories_France,countriesAndTerritories_Germany,countriesAndTerritories_India,countriesAndTerritories_Iran,countriesAndTerritories_Italy,countriesAndTerritories_Mexico,countriesAndTerritories_Netherlands,countriesAndTerritories_Peru,countriesAndTerritories_Russia,countriesAndTerritories_Spain,countriesAndTerritories_Sweden,countriesAndTerritories_Switzerland,countriesAndTerritories_Turkey,countriesAndTerritories_United_Kingdom,countriesAndTerritories_United_States_of_America
6839,2019-12-31,1352617328.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3207,2019-12-31,1392730000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10319,2019-12-31,17231017.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15220,2019-12-31,327167434.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5715,2019-12-31,82927922.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,2019-12-31,11422068.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13563,2019-12-31,46723749.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2180,2019-12-31,209469333.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5299,2019-12-31,66987244.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14050,2019-12-31,8516543.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7092,2019-12-31,81800269.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2745,2019-12-31,37058856.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392,2019-12-31,17084357.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13920,2019-12-31,10183175.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12220,2019-12-31,144478050.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7654,2019-12-31,60431283.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9531,2019-12-31,126190788.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15037,2019-12-31,66488991.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4391,2020-01-01,17084357.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9530,2020-01-01,126190788.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7653,2020-01-01,60431283.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3206,2020-01-01,1392730000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5714,2020-01-01,82927922.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6838,2020-01-01,1352617328.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13562,2020-01-01,46723749.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2744,2020-01-01,37058856.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15219,2020-01-01,327167434.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10318,2020-01-01,17231017.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13919,2020-01-01,10183175.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14049,2020-01-01,8516543.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12219,2020-01-01,144478050.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5298,2020-01-01,66987244.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
