,deaths,dateRep
6839,0,2019-12-31
3207,0,2019-12-31
10319,0,2019-12-31
15220,0,2019-12-31
5715,0,2019-12-31
1656,0,2019-12-31
13563,0,2019-12-31
2180,0,2019-12-31
5299,0,2019-12-31
14050,0,2019-12-31
7092,0,2019-12-31
2745,0,2019-12-31
4392,0,2019-12-31
13920,0,2019-12-31
12220,0,2019-12-31
7654,0,2019-12-31
9531,0,2019-12-31
15037,0,2019-12-31
4391,0,2020-01-01
9530,0,2020-01-01
7653,0,2020-01-01
3206,0,2020-01-01
5714,0,2020-01-01
6838,0,2020-01-01
13562,0,2020-01-01
2744,0,2020-01-01
15219,0,2020-01-01
10318,0,2020-01-01
13919,0,2020-01-01
14049,0,2020-01-01
12219,0,2020-01-01
5298,0,2020-01-01
7091,0,2020-01-01
15036,0,2020-01-01
2179,0,2020-01-01
1655,0,2020-01-01
4390,0,2020-01-02
13918,0,2020-01-02
14048,0,2020-01-02
1654,0,2020-01-02
15035,0,2020-01-02
6837,0,2020-01-02
3205,0,2020-01-02
5297,0,2020-01-02
7652,0,2020-01-02
7090,0,2020-01-02
12218,0,2020-01-02
2743,0,2020-01-02
13561,0,2020-01-02
15218,0,2020-01-02
2178,0,2020-01-02
10317,0,2020-01-02
9529,0,2020-01-02
5713,0,2020-01-02
6836,0,2020-01-03
13560,0,2020-01-03
3204,0,2020-01-03
5712,0,2020-01-03
15217,0,2020-01-03
12217,0,2020-01-03
7089,0,2020-01-03
1653,0,2020-01-03
2177,0,2020-01-03
10316,0,2020-01-03
15034,0,2020-01-03
14047,0,2020-01-03
5296,0,2020-01-03
2742,0,2020-01-03
4389,0,2020-01-03
9528,0,2020-01-03
7651,0,2020-01-03
13917,0,2020-01-03
1652,0,2020-01-04
4388,0,2020-01-04
14046,0,2020-01-04
2176,0,2020-01-04
10315,0,2020-01-04
9527,0,2020-01-04
7650,0,2020-01-04
15033,0,2020-01-04
2741,0,2020-01-04
12216,0,2020-01-04
3203,0,2020-01-04
15216,0,2020-01-04
6835,0,2020-01-04
5711,0,2020-01-04
13916,0,2020-01-04
